STANDARD SERVICE CODE,PROVIDERSERVICECODE,PROVIDER SERVICE DESCRIPTION,price 2022,EFFECTIVE DATE,DISCOUNT,Category Code,Group Code
,CAR-0001,Heartcatherization,7717.5,2022-01-01,0,P,200
,CAR-0002,A.V.Fistula,5209.3125,2022-01-01,0,P,200
,CAR-0003,Lhc+Graft,8268.75,2022-01-01,0,P,200
,CAR-0004,Singlevesselptcaonev3,22050.0,2022-01-01,0,P,200
,CAR-0005,Singlevesselptcastenting,18742.5,2022-01-01,0,P,200
,CAR-0006,Coronarystenting(Perstent)Includingtheconventionalbarestent,6306.3,2022-01-01,0,P,200
,CAR-0007,Ptcasv,17640.0,2022-01-01,0,P,200
,CAR-0008,Coronarystenting(Perstent)Includingdrugelusion,16537.5,2022-01-01,0,P,200
,CAR-0009,Ptcasv+Stents,33075.0,2022-01-01,0,P,200
,CAR-0010,Coronaryangiography&Singlevesselpciinonesession,22050.0,2022-01-01,0,P,200
,CAR-0011,Ptcasv+2stents,45202.5,2022-01-01,0,P,200
,CAR-0012,Permanentpacemakerimplementation(Complete),22050.0,2022-01-01,0,P,200
,CAR-0013,Ptcasv+3stents,55125.0,2022-01-01,0,P,200
,CAR-0014,Intraaorticballoonpump,22050.0,2022-01-01,0,P,200
,CAR-0015,Directionalarthrectomy,26460.0,2022-01-01,0,P,200
,CAR-0016,Rtheartcatherizationw/Oshuntrun,6615.0,2022-01-01,0,P,200
,CAR-0017,Temporarypacemaker,4410.0,2022-01-01,0,P,200
,CAR-0018,Pulmonaryvalvuplastywithrhc+Shunt,22050.0,2022-01-01,0,P,200
,CAR-0019,Cardioversion/Defibrillation,3307.5,2022-01-01,0,P,200
,CAR-0020,Vvd(Permanentpacemaker)Withoutcostofpeacemaker,49612.5,2022-01-01,0,P,200
,CAR-0021,Mitralvalvuloplasty,38587.5,2022-01-01,0,P,200
,CAR-0022,Vvi(Permanentpacemaker),44100.0,2022-01-01,0,P,200
